user_id,item_id
1,4362
2,1233
3,6619
4,1
5,2084
6,9704
7,4231
8,7946
9,14
10,15
11,10408
12,4882
13,10408
14,13
15,13
16,10408
17,2
18,5100
19,6712
20,343
21,5185
22,83
23,6991
24,3
25,3
26,6718
27,9770
28,7414
29,7998
30,3643
31,7540
32,3404
33,1470
34,10024
35,2391
36,3
37,6916
38,7184
38,9012
39,8489
40,7583
41,3687
42,5704
43,6689
44,8482
45,3462
46,4206
47,1733
48,4147
49,6924
50,2342
51,3109
52,9400
53,3102
54,3
55,5500
56,4
57,1503
58,5802
59,2458
60,4
61,343
62,5371
63,1080
64,1162
65,2160
66,1575
67,5347
68,2421
69,4732
70,1269
71,1139
72,1755
73,2037
74,5
75,8532
76,6
77,2231
78,7008
79,5238
80,6
81,4014
82,5845
83,3863
84,7
85,5280
86,5352
87,8125
88,7751
89,7891
90,8061
91,1866
92,5504
93,3992
94,4951
95,5340
96,165
97,4320
98,9
99,10
100,8930
101,4420
102,3233
103,7946
104,1686
105,5113
106,579
107,4536
108,7599
109,9481
110,1154
111,1212
112,1078
113,1960
114,9
115,5921
116,9
117,4601
118,4536
119,1543
120,4831
121,595
122,6939
123,10
124,2606
125,3079
126,10144
127,10
128,3179
129,10
130,5259
131,8472
132,16
133,3237
134,3783
135,5132
136,5281
137,10
138,3078
139,4536
140,3045
141,5696
142,4423
143,3168
144,12
145,5984
146,9244
147,6395
148,3096
149,5582
150,6162
151,9295
152,16
153,7926
154,16
155,2658
156,5114
157,16
158,9264
159,8324
160,3600
161,4386
162,2759
163,3420
164,8470
165,4111
166,2772
167,16
168,7438
169,9292
170,185
171,5325
172,2772
173,17
174,17
175,5809
175,18
175,8987
175,8948
175,9099
175,8372
175,87
175,1725
176,488
177,799
178,18
179,18
180,7854
181,1886
182,1391
183,19
184,6995
185,2656
185,648
185,9626
186,5340
187,1430
188,7946
189,6165
190,8794
191,695
192,1412
193,366
194,10106
195,1601
196,7785
197,21
198,5396
199,4138
200,22
201,22
202,6679
203,6394
204,1470
205,8069
206,2385
207,579
208,4463
209,595
210,5631
211,6627
212,1470
213,2993
214,1300
215,22
216,22
217,1824
218,1983
219,23
220,93
221,4259
222,7766
223,2453
